,countyFIPS,annual_avg_emplvl
720977,18063,71786
722323,18065,13513
723194,18067,39176
724265,18069,13629
725194,18071,21637
726100,18073,11743
726896,18075,7327
727582,18077,12333
728402,18079,7516
729036,18081,55069
730385,18083,17565
731364,18085,38934
732610,18087,14527
733541,18089,187819
735278,18091,40297
736554,18093,13756
737422,18095,39753
738688,18097,598427
740765,18099,18513
741811,18101,7311
742296,18103,9341
743141,18105,63258
744474,18107,15286
745371,18109,15716
746367,18111,3237
746832,18113,18545
747767,18115,1347
748063,18117,7439
748661,18119,4832
749225,18121,3173
749783,18123,6471
750446,18125,2746
750885,18127,60775
752304,18129,8652
753042,18131,4772
753573,18133,13531
754440,18135,6547
755166,18137,12266
755961,18139,5015
756612,18141,123222
758253,18143,8408
758886,18145,18409
759841,18147,6853
760562,18149,4518
761141,18151,15907
762133,18153,5612
762794,18155,2128
763175,18157,84991
764568,18159,5245
765120,18161,1323
765454,18163,109361
767034,18165,4279
767572,18167,48312
768880,18169,12095
769717,18171,1872
770044,18173,16268
771014,18175,6187
771679,18177,30546
772786,18179,10792
773590,18181,9204
774381,18183,12758
775227,18999,76914
779722,19001,2798
780254,19003,0
780667,19005,5112
781403,19007,4455
782038,19009,1775
782483,19011,5972
783233,19013,74644
784734,19015,9119
785587,19017,9965
786399,19019,6649
787153,19021,11004
787992,19023,3448
788602,19025,2900
789106,19027,11408
790029,19029,6079
790765,19031,5415
791498,19033,24755
792730,19035,4701
793390,19037,4880
794042,19039,4481
794548,19041,8638
795462,19043,6805
796228,19045,20594
797296,19047,6858
797951,19049,45160
799176,19051,2039
799694,19053,2431
800183,19055,6592
800945,19057,22049
802098,19059,9565
803019,19061,58834
804507,19063,3843
805100,19065,7221
805853,19067,6215
806580,19069,3944
807194,19071,2240
807664,19073,3362
808264,19075,4074
808802,19077,3110
809391,19079,5852
810095,19081,6412
810682,19083,7025
811478,19085,4109
812097,19087,9432
812908,19089,4252
813511,19091,3965
814106,19093,3809
814622,19095,10280
815431,19097,6345
816266,19099,11396
817223,19101,7709
818076,19103,83916
819482,19105,6250
820235,19107,2180
820728,19109,6877
821477,19111,15330
822473,19113,130637
824138,19115,3879
824618,19117,3518
825138,19119,4615
825798,19121,3877
826547,19123,7949
827373,19125,17637
828343,19127,16847
829371,19129,3608
830031,19131,3962
830689,19133,2635
831188,19135,3449
831742,19137,4087
832376,19139,23292
833415,19141,6584
834140,19143,2423
834611,19145,6275
835309,19147,3879
835882,19149,11574
836721,19151,3122
837234,19153,301968
839240,19155,39707
840546,19157,10400
841351,19159,1437
841770,19161,3025
842319,19163,90845
843898,19165,5804
844551,19167,20804
845530,19169,46492
846856,19171,5620
847492,19173,2058
847853,19175,6151
848568,19177,1979
848981,19179,16182
849970,19181,11556
850935,19183,8206
851773,19185,1858
852182,19187,18098
853268,19189,4231
853855,19191,10373
854757,19193,51841
856163,19195,2343
856650,19197,5591
857319,19999,0
859930,20001,5673
860591,20003,2060
861096,20005,5623
861795,20007,1646
862255,20009,11985
863178,20011,6420
863839,20013,5223
864454,20015,18780
865554,20017,934
865834,20019,734
866148,20021,5833
866806,20023,872
867168,20025,721
867445,20027,2998
868029,20029,3118
868569,20031,3719
869101,20033,632
869427,20035,14172
870303,20037,17051
871287,20039,940
871645,20041,6365
872382,20043,2289
872868,20045,49203
874242,20047,963
874594,20049,601
874873,20051,15192
875870,20053,2265
876313,20055,19515
877303,20057,17052
878253,20059,9304
879092,20061,12860
879957,20063,1229
880294,20065,864
880625,20067,2919
881126,20069,3290
881600,20071,644
881859,20073,1700
882308,20075,1423
882615,20077,2310
883075,20079,13933
883961,20081,1774
884322,20083,564
884602,20085,4187
885168,20087,3655
885805,20089,754
886087,20091,349302
887978,20093,1444
888320,20095,2354
888791,20097,1129
889140,20099,9047
889870,20101,637
890140,20103,21052
891259,20105,949
891591,20107,2002
892125,20109,1266
892475,20111,15020
893441,20113,14838
894419,20115,3583
895021,20117,4544
895636,20119,1686
896048,20121,8499
896943,20123,3172
897461,20125,14464
898426,20127,1537
898854,20129,835
899168,20131,5122
899771,20133,6140
900511,20135,1093
900858,20137,2364
901350,20139,2807
901931,20141,1476
902361,20143,1259
902776,20145,2747
903248,20147,2461
903782,20149,9760
904585,20151,4570
905189,20153,930
905551,20155,26522
906795,20157,1924
907258,20159,3938
907805,20161,29077
