area_fips,naics_code,annual_avg_emplvl,STATE
38000,444,5119,38.0
38000,445,7211,38.0
38000,446,2514,38.0
38000,447,5407,38.0
38000,448,2777,38.0
38000,451,2191,38.0
38000,452,8828,38.0
38000,453,2274,38.0
38000,454,939,38.0
38000,481,101,38.0
38000,484,10347,38.0
38000,485,1237,38.0
38000,486,1271,38.0
38000,487,0,38.0
38000,488,1939,38.0
38000,491,1825,38.0
38000,492,1598,38.0
38000,493,672,38.0
38000,511,2423,38.0
38000,512,435,38.0
38000,515,1095,38.0
38000,517,1703,38.0
38000,518,563,38.0
38000,519,151,38.0
38000,521,0,38.0
38000,522,9608,38.0
38000,523,1066,38.0
38000,524,7220,38.0
38000,525,0,38.0
38000,531,3720,38.0
38000,532,2032,38.0
38000,533,25,38.0
38000,541,16676,38.0
38000,551,5282,38.0
38000,561,12795,38.0
38000,562,742,38.0
38000,611,34095,38.0
38000,621,17230,38.0
38000,622,19127,38.0
38000,623,16101,38.0
38000,624,10775,38.0
38000,711,1053,38.0
38000,712,252,38.0
38000,713,9253,38.0
38000,721,6517,38.0
38000,722,28238,38.0
38000,811,4238,38.0
38000,812,3311,38.0
38000,813,3917,38.0
38000,814,164,38.0
38000,921,13846,38.0
38000,922,2861,38.0
38000,923,177,38.0
38000,924,1469,38.0
38000,925,38,38.0
38000,926,1546,38.0
38000,928,1527,38.0
39000,111,8019,39.0
39000,112,6102,39.0
39000,113,287,39.0
39000,114,41,39.0
39000,115,2214,39.0
39000,211,1101,39.0
39000,212,4338,39.0
39000,213,6420,39.0
39000,221,28693,39.0
39000,236,48044,39.0
39000,237,38263,39.0
39000,238,140917,39.0
39000,311,61441,39.0
39000,312,9612,39.0
39000,313,1795,39.0
39000,314,2444,39.0
39000,315,1704,39.0
39000,316,873,39.0
39000,321,12925,39.0
39000,322,20101,39.0
39000,323,21385,39.0
39000,324,4692,39.0
39000,325,45680,39.0
39000,326,57881,39.0
39000,327,27301,39.0
39000,331,35764,39.0
39000,332,102072,39.0
39000,333,79907,39.0
39000,334,20872,39.0
39000,335,26604,39.0
39000,336,128116,39.0
39000,337,16146,39.0
39000,339,21645,39.0
39000,423,138968,39.0
39000,424,76901,39.0
39000,425,18919,39.0
39000,441,78853,39.0
