STATE,COUNTY,STNAME,CTYNAME,SHELTER_DATE
8,65,Colorado,Lake County,3/26/20
8,67,Colorado,La Plata County,3/26/20
8,69,Colorado,Larimer County,3/26/20
8,71,Colorado,Las Animas County,3/26/20
8,73,Colorado,Lincoln County,3/26/20
8,75,Colorado,Logan County,3/26/20
8,77,Colorado,Mesa County,3/26/20
8,79,Colorado,Mineral County,3/26/20
8,81,Colorado,Moffat County,3/26/20
8,83,Colorado,Montezuma County,3/26/20
8,85,Colorado,Montrose County,3/26/20
8,87,Colorado,Morgan County,3/26/20
8,89,Colorado,Otero County,3/26/20
8,91,Colorado,Ouray County,3/26/20
8,93,Colorado,Park County,3/26/20
8,95,Colorado,Phillips County,3/26/20
8,97,Colorado,Pitkin County,3/26/20
8,99,Colorado,Prowers County,3/26/20
8,101,Colorado,Pueblo County,3/26/20
8,103,Colorado,Rio Blanco County,3/26/20
8,105,Colorado,Rio Grande County,3/26/20
8,107,Colorado,Routt County,3/26/20
8,109,Colorado,Saguache County,3/26/20
8,111,Colorado,San Juan County,3/26/20
8,113,Colorado,San Miguel County,3/26/20
8,115,Colorado,Sedgwick County,3/26/20
8,117,Colorado,Summit County,3/26/20
8,119,Colorado,Teller County,3/26/20
8,121,Colorado,Washington County,3/26/20
8,123,Colorado,Weld County,3/26/20
8,125,Colorado,Yuma County,3/26/20
9,1,Connecticut,Fairfield County,3/23/20
9,3,Connecticut,Hartford County,3/23/20
9,5,Connecticut,Litchfield County,3/23/20
9,7,Connecticut,Middlesex County,3/23/20
9,9,Connecticut,New Haven County,3/23/20
9,11,Connecticut,New London County,3/23/20
9,13,Connecticut,Tolland County,3/23/20
9,15,Connecticut,Windham County,3/23/20
10,1,Delaware,Kent County,3/24/20
10,3,Delaware,New Castle County,3/24/20
10,5,Delaware,Sussex County,3/24/20
11,1,District of Columbia,District of Columbia,4/1/20
12,1,Florida,Alachua County,3/24/20
12,3,Florida,Baker County,4/3/20
12,5,Florida,Bay County,4/3/20
12,7,Florida,Bradford County,4/3/20
12,9,Florida,Brevard County,4/3/20
12,11,Florida,Broward County,3/27/20
12,13,Florida,Calhoun County,4/3/20
12,15,Florida,Charlotte County,4/3/20
12,17,Florida,Citrus County,4/3/20
12,19,Florida,Clay County,4/3/20
12,21,Florida,Collier County,4/3/20
12,23,Florida,Columbia County,4/3/20
12,27,Florida,DeSoto County,4/3/20
12,29,Florida,Dixie County,4/3/20
12,31,Florida,Duval County,4/3/20
12,33,Florida,Escambia County,4/3/20
12,35,Florida,Flagler County,3/22/20
12,37,Florida,Franklin County,4/3/20
12,39,Florida,Gadsden County,4/3/20
12,41,Florida,Gilchrist County,4/3/20
12,43,Florida,Glades County,4/3/20
12,45,Florida,Gulf County,4/3/20
12,47,Florida,Hamilton County,4/3/20
12,49,Florida,Hardee County,4/3/20
12,51,Florida,Hendry County,4/3/20
12,53,Florida,Hernando County,4/3/20
12,55,Florida,Highlands County,4/3/20
12,57,Florida,Hillsborough County,3/27/20
12,59,Florida,Holmes County,4/3/20
12,61,Florida,Indian River County,4/3/20
12,63,Florida,Jackson County,4/3/20
12,65,Florida,Jefferson County,4/3/20
12,67,Florida,Lafayette County,4/3/20
12,69,Florida,Lake County,4/3/20
12,71,Florida,Lee County,4/3/20
12,73,Florida,Leon County,3/25/20
12,75,Florida,Levy County,4/3/20
12,77,Florida,Liberty County,4/3/20
12,79,Florida,Madison County,4/3/20
12,81,Florida,Manatee County,4/3/20
12,83,Florida,Marion County,4/3/20
12,85,Florida,Martin County,4/3/20
12,86,Florida,Miami-Dade County,3/25/20
12,87,Florida,Monroe County,3/30/20
12,89,Florida,Nassau County,4/3/20
12,91,Florida,Okaloosa County,4/3/20
12,93,Florida,Okeechobee County,4/3/20
12,95,Florida,Orange County,3/26/20
12,97,Florida,Osceola County,3/26/20
12,99,Florida,Palm Beach County,3/30/20
12,101,Florida,Pasco County,4/3/20
12,103,Florida,Pinellas County,3/26/20
12,105,Florida,Polk County,4/3/20
12,107,Florida,Putnam County,4/3/20
12,109,Florida,St. Johns County,4/3/20
12,111,Florida,St. Lucie County,4/3/20
12,113,Florida,Santa Rosa County,4/3/20
12,115,Florida,Sarasota County,4/3/20
12,117,Florida,Seminole County,4/3/20
12,119,Florida,Sumter County,4/3/20
12,121,Florida,Suwannee County,4/3/20
12,123,Florida,Taylor County,4/3/20
12,125,Florida,Union County,4/3/20
12,127,Florida,Volusia County,4/3/20
12,129,Florida,Wakulla County,4/3/20
12,131,Florida,Walton County,4/3/20
12,133,Florida,Washington County,4/3/20
13,1,Georgia,Appling County,4/3/20
13,3,Georgia,Atkinson County,4/3/20
13,5,Georgia,Bacon County,4/3/20
13,7,Georgia,Baker County,4/3/20
13,9,Georgia,Baldwin County,4/3/20
13,11,Georgia,Banks County,4/3/20
13,13,Georgia,Barrow County,4/3/20
13,15,Georgia,Bartow County,4/3/20
13,17,Georgia,Ben Hill County,4/3/20
13,19,Georgia,Berrien County,4/3/20
13,21,Georgia,Bibb County,4/3/20
13,23,Georgia,Bleckley County,4/3/20
13,25,Georgia,Brantley County,4/3/20
13,27,Georgia,Brooks County,4/3/20
13,29,Georgia,Bryan County,4/3/20
13,31,Georgia,Bulloch County,4/3/20
13,33,Georgia,Burke County,4/3/20
13,35,Georgia,Butts County,4/3/20
13,37,Georgia,Calhoun County,4/3/20
13,39,Georgia,Camden County,4/3/20
13,43,Georgia,Candler County,4/3/20
13,45,Georgia,Carroll County,3/25/20
13,47,Georgia,Catoosa County,4/3/20
13,49,Georgia,Charlton County,4/3/20
13,51,Georgia,Chatham County,3/24/20
13,53,Georgia,Chattahoochee County,4/3/20
13,55,Georgia,Chattooga County,4/3/20
13,57,Georgia,Cherokee County,4/3/20
13,59,Georgia,Clarke County,3/21/20
13,61,Georgia,Clay County,4/3/20
13,63,Georgia,Clayton County,4/3/20
13,65,Georgia,Clinch County,4/3/20
13,67,Georgia,Cobb County,4/3/20
13,69,Georgia,Coffee County,4/3/20
13,71,Georgia,Colquitt County,4/3/20
13,73,Georgia,Columbia County,4/3/20
13,75,Georgia,Cook County,4/3/20
